date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2021-12-30 22:58:22,21C4837C9E000A86,001: Kiddie Baps...My Mission Experience in Guatemala,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-001-KiddieBap.mp3?dest-id=208707,,9260,,19019507,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:14,Podcast,,2378000,,,,
2021-12-30 22:58:22,CF9A3BC33D07177E,002: Gregory Prince and David O. McKay and the Rise of Modern Mormonism,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-002-GregoryPrinc.mp3?dest-id=208707,,9262,,24525205,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:15,Podcast,,3066000,,,,
2021-12-30 22:58:22,64BCF54485EC1526,003: Inside the Mind of an Anti-Mormon,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-003-InsidetheMi.mp3?dest-id=208707,,9264,,39585870,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:16,Podcast,,4949000,,,,
2021-12-30 22:58:22,B6A8F7D1203DBC48,"004: Gregory Prince, David O. McKay and the Blacks/Priesthood Issue",,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-004-GregoryPrinc.mp3?dest-id=208707,,9266,,28245098,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:17,Podcast,,3531000,,,,
2021-12-30 22:58:22,C6C98E2C36FF2431,"005: Masonry and Mormonism -- An interview with Greg Kearney, a lifelong, multi-generational Mormon and Master Mason",,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-005-Masonry.mp3?dest-id=208707,,9268,,42227236,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:18,Podcast,,5279000,,,,
2021-12-30 22:58:22,67DFEA2FEFA95B6E,006: A Hitchhiker's Guide to the Mormon Cybergalaxy,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-006-Bloggernacle.mp3?dest-id=208707,,9270,,24893882,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:19,Podcast,,3112000,,,,
2021-12-30 22:58:22,02BEE10BDCE0DD8B,007: Inside the Mind of a Mormon Apologist Pt. 1,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-007-FAIRPT1.mp3?dest-id=208707,,9272,,29069072,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:20,Podcast,,3634000,,,,
2021-12-30 22:58:22,40AF1BC298C96172,008: Inside the Mind of a Mormon Apologist Pt. 2,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-008-FAIRPT2.mp3?dest-id=208707,,9274,,19105704,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:21,Podcast,,2389000,,,,
2021-12-30 22:58:22,071DBFF77C72DB8E,009: Inside the Mind of a Mormon Apologist Pt. 3,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-009-FAIRPT3.mp3?dest-id=208707,,9276,,34676338,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:22,Podcast,,4335000,,,,
2021-12-30 22:58:22,EF1DDC4FC72A2BEC,010: Finding our Way Back Home Pt. 1,,True,,,,True,https://traffic.libsyn.com/secure/mormonstories/MormonStories-010-FindingOurWayBackHomePt1.mp3?dest-id=208707,,9278,,25109069,,,URL,Mormon Stories - LDS,,,2007-10-19 17:54:23,Podcast,,3139000,,,,
